"n","k","b0","b1","n_sims","true_coef","method","ev","mc_error_ev","bias","percent_bias","var","mse","prop_ones"
30,3,-1,0.5,50000,0.5,"ML",0.657533,0.00392758,0.157533,31.5065,0.771296,0.796097,0.285735
30,3,-1,0.5,50000,0.5,"PML",0.514793,0.00293133,0.014793,2.9586,0.429635,0.429845,0.285735
40,3,-1,0.5,50000,0.5,"ML",0.602341,0.00201646,0.102341,20.4681,0.203305,0.213774,0.273555
40,3,-1,0.5,50000,0.5,"PML",0.507948,0.00157415,0.00794782,1.58956,0.123898,0.123958,0.273555
50,3,-1,0.5,50000,0.5,"ML",0.558686,0.00209529,0.0586856,11.7371,0.219512,0.222951,0.271471
50,3,-1,0.5,50000,0.5,"PML",0.500624,0.00178649,0.00062438,0.124876,0.159578,0.159575,0.271471
60,3,-1,0.5,50000,0.5,"ML",0.559531,0.00148541,0.0595313,11.9063,0.110322,0.113864,0.306896
60,3,-1,0.5,50000,0.5,"PML",0.503907,0.00130399,0.00390657,0.781314,0.0850201,0.0850337,0.306896
70,3,-1,0.5,50000,0.5,"ML",0.549766,0.00150739,0.0497664,9.95327,0.113611,0.116085,0.296
70,3,-1,0.5,50000,0.5,"PML",0.501615,0.00135384,0.00161466,0.322932,0.0916447,0.0916455,0.296
80,3,-1,0.5,50000,0.5,"ML",0.547214,0.00135547,0.0472137,9.44274,0.0918652,0.0940925,0.284106
80,3,-1,0.5,50000,0.5,"PML",0.499571,0.00123265,-0.000429362,-0.0858725,0.0759712,0.0759699,0.284106
90,3,-1,0.5,50000,0.5,"ML",0.542928,0.00130998,0.0429282,8.58564,0.0858024,0.0876435,0.263202
90,3,-1,0.5,50000,0.5,"PML",0.502505,0.00121297,0.00250544,0.501088,0.0735646,0.0735694,0.263202
100,3,-1,0.5,50000,0.5,"ML",0.535378,0.00113095,0.035378,7.0756,0.0639528,0.0652032,0.293575
100,3,-1,0.5,50000,0.5,"PML",0.500728,0.00105671,0.000728215,0.145643,0.0558323,0.0558317,0.293575
110,3,-1,0.5,50000,0.5,"ML",0.527535,0.00117685,0.0275352,5.50704,0.069249,0.0700058,0.277967
110,3,-1,0.5,50000,0.5,"PML",0.499193,0.00110494,-0.000806769,-0.161354,0.061045,0.0610444,0.277967
120,3,-1,0.5,50000,0.5,"ML",0.526423,0.000956367,0.0264226,5.28452,0.0457319,0.0464291,0.29843
120,3,-1,0.5,50000,0.5,"PML",0.502655,0.000904951,0.0026551,0.531019,0.0409468,0.040953,0.29843
130,3,-1,0.5,50000,0.5,"ML",0.523075,0.00106619,0.0230752,4.61504,0.0568381,0.0573694,0.272901
130,3,-1,0.5,50000,0.5,"PML",0.499349,0.00101387,-0.000650794,-0.130159,0.0513971,0.0513965,0.272901
140,3,-1,0.5,50000,0.5,"ML",0.52586,0.000987669,0.0258602,5.17203,0.0487745,0.0494422,0.26662
140,3,-1,0.5,50000,0.5,"PML",0.500603,0.00093601,0.000603015,0.120603,0.0438057,0.0438052,0.26662
150,3,-1,0.5,50000,0.5,"ML",0.516409,0.0009788,0.0164087,3.28173,0.0479024,0.0481707,0.279806
150,3,-1,0.5,50000,0.5,"PML",0.498915,0.000937419,-0.00108501,-0.217002,0.0439377,0.043938,0.279806
160,3,-1,0.5,50000,0.5,"ML",0.522693,0.000874746,0.022693,4.53859,0.0382591,0.0387733,0.285346
160,3,-1,0.5,50000,0.5,"PML",0.500905,0.000836895,0.00090545,0.18109,0.0350197,0.0350198,0.285346
170,3,-1,0.5,50000,0.5,"ML",0.517855,0.000883664,0.0178546,3.57093,0.0390431,0.0393611,0.301387
170,3,-1,0.5,50000,0.5,"PML",0.499138,0.000850173,-0.000861847,-0.172369,0.0361397,0.0361397,0.301387
180,3,-1,0.5,50000,0.5,"ML",0.519067,0.000832614,0.0190671,3.81342,0.0346623,0.0350252,0.275488
180,3,-1,0.5,50000,0.5,"PML",0.501581,0.000800677,0.00158097,0.316194,0.0320542,0.032056,0.275488
190,3,-1,0.5,50000,0.5,"ML",0.518041,0.000776185,0.0180413,3.60825,0.0301232,0.0304481,0.273782
190,3,-1,0.5,50000,0.5,"PML",0.499302,0.000748767,-0.000698377,-0.139675,0.0280326,0.0280325,0.273782
200,3,-1,0.5,50000,0.5,"ML",0.518743,0.000738101,0.0187427,3.74854,0.0272396,0.0275904,0.288048
200,3,-1,0.5,50000,0.5,"PML",0.501281,0.000713053,0.00128141,0.256281,0.0254222,0.0254234,0.288048
210,3,-1,0.5,50000,0.5,"ML",0.514296,0.000755358,0.0142959,2.85919,0.0285283,0.0287321,0.282543
210,3,-1,0.5,50000,0.5,"PML",0.49895,0.000732486,-0.00104995,-0.209989,0.0268268,0.0268273,0.282543
30,6,-1,0.5,50000,0.5,"ML",0.862136,0.00598101,0.362136,72.4272,1.78862,1.91973,0.279739
30,6,-1,0.5,50000,0.5,"PML",0.549404,0.00335062,0.0494045,9.8809,0.561334,0.563763,0.279739
40,6,-1,0.5,50000,0.5,"ML",0.742089,0.00391343,0.242089,48.4178,0.765745,0.824337,0.268552
40,6,-1,0.5,50000,0.5,"PML",0.525459,0.00254673,0.0254591,5.09182,0.324292,0.324934,0.268552
50,6,-1,0.5,50000,0.5,"ML",0.611903,0.00213456,0.111903,22.3805,0.227817,0.240334,0.297747
50,6,-1,0.5,50000,0.5,"PML",0.509274,0.00166031,0.00927405,1.85481,0.137832,0.137916,0.297747
60,6,-1,0.5,50000,0.5,"ML",0.620075,0.00191736,0.120075,24.015,0.183813,0.198227,0.315917
60,6,-1,0.5,50000,0.5,"PML",0.510137,0.00157533,0.0101372,2.02744,0.124084,0.124184,0.315917
70,6,-1,0.5,50000,0.5,"ML",0.59093,0.00166847,0.09093,18.186,0.13919,0.147456,0.314225
70,6,-1,0.5,50000,0.5,"PML",0.505209,0.00141866,0.00520942,1.04188,0.10063,0.100655,0.314225
80,6,-1,0.5,50000,0.5,"ML",0.573781,0.0016266,0.0737814,14.7563,0.132291,0.137732,0.275621
80,6,-1,0.5,50000,0.5,"PML",0.503601,0.00140471,0.00360092,0.720184,0.0986608,0.0986718,0.275621
90,6,-1,0.5,50000,0.5,"ML",0.562904,0.0012978,0.0629043,12.5809,0.0842145,0.0881697,0.295694
90,6,-1,0.5,50000,0.5,"PML",0.503141,0.00113938,0.00314101,0.628201,0.0649094,0.064918,0.295694
100,6,-1,0.5,50000,0.5,"ML",0.555333,0.00132446,0.0553326,11.0665,0.0877102,0.0907702,0.28886
100,6,-1,0.5,50000,0.5,"PML",0.503846,0.00118755,0.00384628,0.769256,0.0705136,0.070527,0.28886
110,6,-1,0.5,50000,0.5,"ML",0.544507,0.00128806,0.0445066,8.90132,0.0829551,0.0849343,0.28964
110,6,-1,0.5,50000,0.5,"PML",0.501234,0.00116695,0.00123356,0.246712,0.0680884,0.0680886,0.28964
120,6,-1,0.5,50000,0.5,"ML",0.549103,0.00108591,0.0491031,9.82061,0.0589602,0.0613701,0.282658
