identnum,_merge,id,ap,dc,st,sg,cr,pc,ag,dq,sp,a2,court,merge,newid,volume,page,month,day,pe,counter,reswin,oconnor,year,cc,ctideo,inter,cr2,petwin,st2,ag2,pc2,dq2,sp2,dc2,pe2
1,3,"408/238",0,0,1,0,0,0,1,1,1,"408/238",0,3,"408/238",408,238,6,29,1,1,0,0,72,0,-.018,0,1,1,-1,0,1,0,0,1,-1
1,3,"408/238",0,0,1,0,1,0,1,1,1,"408/238",0,3,"408/238",408,238,6,29,1,2,0,0,72,0,-.018,0,0,1,-1,0,1,0,0,1,-1
1,3,"408/238",0,0,1,0,0,0,1,1,1,"408/238",0,3,"408/238",408,238,6,29,1,3,0,0,72,0,-.018,0,1,1,-1,0,1,0,0,1,-1
2,3,"428/280",0,0,0,1,1,0,1,1,1,"428/280",0,3,"428/280",428,280,7,2,1,4,0,0,76,1,-.124,0,0,1,0,0,1,0,0,1,-1
2,3,"428/153",0,0,1,1,1,1,1,1,1,"428/153",1,3,"428/153",428,153,7,2,1,5,1,0,76,1,-.124,0,0,0,-1,0,0,0,0,1,-1
2,3,"428/242",0,1,1,1,1,1,1,1,1,"428/242",1,3,"428/242",428,242,7,2,1,6,1,0,76,1,-.124,0,0,0,-1,0,0,0,0,0,-1
2,3,"428/262",0,0,1,1,1,1,1,1,1,"428/262",1,3,"428/262",428,262,7,2,1,7,1,0,76,1,-.124,0,0,0,-1,0,0,0,0,1,-1
2,3,"428/325",0,0,0,1,1,0,1,1,1,"428/325",0,3,"428/325",228,325,7,2,1,8,0,0,76,1,-.124,0,0,1,0,0,1,0,0,1,-1
3,3,"429/122",0,0,1,0,1,1,1,0,1,"429/122",0,3,"429/122",429,122,12,6,1,9,0,0,76,1,-.124,0,0,1,-1,0,0,1,0,1,-1
4,3,"430/349",0,0,1,0,1,0,1,1,1,"430/349",0,3,"430/349",430,349,3,22,0,10,0,0,77,1,-.124,0,0,1,-1,0,1,0,0,1,0
5,3,"431/633",0,1,0,0,1,0,1,1,1,"431/633",0,3,"431/633",431,633,6,6,0,11,0,0,77,1,-.124,0,0,1,0,0,1,0,0,0,0
6,3,"433/584",0,0,1,0,0,1,1,1,1,"433/584",0,3,"433/584",433,584,6,29,0,12,0,0,77,1,-.124,0,1,1,-1,0,0,0,0,1,0
7,3,"438/586",0,0,0,0,0,0,1,0,1,"438/586",0,3,"438/586",438,586,7,3,0,13,0,0,78,1,-.124,0,1,1,0,0,1,1,0,1,0
7,3,"438/637",0,0,0,0,0,0,1,1,1,"438/637",0,3,"438/637",438,637,7,3,0,14,0,0,78,1,-.124,0,1,1,0,0,1,0,0,1,0
8,3,"439/14",0,1,1,0,1,1,0,1,1,"439/14",0,3,"439/14",439,14,11,6,0,15,0,0,78,1,-.124,0,0,1,-1,1,0,0,0,0,0
9,3,"442/95",0,0,1,0,1,0,1,1,1,"442/95",0,3,"442/95",442,95,5,29,0,16,0,0,79,1,-.124,0,0,1,-1,0,1,0,0,1,0
10,3,"446/420",0,1,1,0,1,1,0,1,1,"446/420",0,3,"446/420",446,420,5,19,0,17,0,0,80,1,-.124,0,0,1,-1,1,0,0,0,0,0
11,3,"447/625",0,0,0,0,1,1,1,1,1,"447/625",0,3,"447/625",447,625,6,20,0,18,0,0,80,1,-.124,0,0,1,0,0,0,0,0,1,0
12,3,"448/38",0,1,1,0,1,1,1,0,1,"448/38",0,3,"448/38",448,38,6,25,0,19,0,0,80,1,-.124,0,0,1,-1,0,0,1,0,0,0
