"","court","dq","cr","pc","ag","sp","pe","cc","ap","dc","st","sg"
"1",0,1,0,0,1,1,1,0,0,0,1,0
"2",0,1,1,0,1,1,1,0,0,0,1,0
"3",0,1,0,0,1,1,1,0,0,0,1,0
"4",0,1,1,0,1,1,1,1,0,0,0,1
"5",1,1,1,1,1,1,1,1,0,0,1,1
"6",1,1,1,1,1,1,1,1,0,1,1,1
"7",1,1,1,1,1,1,1,1,0,0,1,1
"8",0,1,1,0,1,1,1,1,0,0,0,1
"9",0,0,1,1,1,1,1,1,0,0,1,0
"10",0,1,1,0,1,1,0,1,0,0,1,0
"11",0,1,1,0,1,1,0,1,0,1,0,0
"12",0,1,0,1,1,1,0,1,0,0,1,0
"13",0,0,0,0,1,1,0,1,0,0,0,0
"14",0,1,0,0,1,1,0,1,0,0,0,0
"15",0,1,1,1,0,1,0,1,0,1,1,0
"16",0,1,1,0,1,1,0,1,0,0,1,0
"17",0,1,1,1,0,1,0,1,0,1,1,0
"18",0,1,1,1,1,1,0,1,0,0,0,0
"19",0,0,1,1,1,1,0,1,0,1,1,0
"20",0,1,0,1,1,0,2,1,1,0,1,0
"21",0,1,1,0,1,1,2,2,0,0,0,0
"22",1,1,1,1,1,1,2,2,1,0,0,0
"23",0,1,0,1,1,1,2,2,0,0,1,0
"24",1,1,1,1,1,1,2,2,1,0,0,0
"25",1,1,1,1,1,1,2,2,1,0,1,0
"26",1,1,1,1,1,0,2,2,0,0,1,0
"27",1,1,1,0,0,1,2,2,0,0,1,0
"28",1,1,1,1,1,1,2,2,1,0,0,0
"29",1,1,1,1,1,1,2,2,1,0,0,0
"30",1,1,1,1,1,1,2,2,0,0,1,0
"31",1,0,1,1,1,1,2,2,1,0,1,0
"32",0,1,1,1,1,0,2,2,0,0,0,0
"33",1,1,0,1,1,1,2,2,1,1,0,0
"34",0,1,1,0,1,1,2,2,0,0,0,0
"35",0,1,1,0,1,1,2,2,0,0,0,0
"36",1,1,1,1,0,1,2,2,0,1,0,0
"37",1,1,1,1,0,1,2,2,0,1,0,0
"38",1,0,1,1,1,1,2,2,1,0,0,0
"39",0,1,1,1,1,1,2,2,0,1,0,0
"40",1,0,1,1,1,1,2,2,0,1,1,0
"41",1,1,1,1,1,0,2,2,0,0,0,0
"42",0,1,1,1,1,0,2,2,0,0,1,0
"43",1,1,1,1,1,1,1,3,1,0,0,0
"44",1,1,1,1,1,1,1,3,0,1,0,0
"45",1,1,1,0,1,1,1,3,0,0,1,0
"46",0,1,1,0,1,1,1,3,0,0,1,0
"47",0,0,1,1,1,1,1,3,0,1,0,0
"48",0,1,1,1,0,1,1,3,0,0,0,0
"49",0,1,1,0,1,1,1,3,1,0,0,0
"50",1,1,1,1,1,1,1,3,0,0,1,0
"51",0,1,1,1,1,0,1,4,0,1,1,0
"52",0,1,1,0,1,1,1,4,0,0,0,0
"53",0,1,1,1,0,1,1,4,1,0,0,0
"54",0,1,1,1,0,1,1,4,0,0,0,0
"55",1,1,1,0,1,1,1,4,0,1,0,0
"56",1,1,1,0,1,1,1,4,0,1,1,0
"57",0,1,1,0,1,1,1,4,0,0,0,0
"58",1,1,1,1,0,1,1,4,0,0,1,0
"59",0,1,1,1,0,1,1,4,1,0,0,0
"60",1,1,1,1,1,1,1,4,1,0,0,0
"61",1,1,1,1,1,1,1,4,1,0,0,0
"62",1,1,1,0,1,1,1,4,0,0,1,0
"63",1,1,1,1,1,1,1,4,1,0,0,0
"64",0,1,1,1,1,0,1,4,0,0,1,0
