warnum	obsnum	obsname	conqueror	loser	ccode1	ccode2	startdate	conqdate	resend	yearconq	default	conqflag	esw	firc	insurgency	resist	succeed	terraim	govtaim	ongoing	alldeaths	losdeaths	conqsize	lossize	countrysize	coord	cowinit	edel_threat	distance	contig	terrain	elevate	forest	culclash	relclash	relclash_sect	language_group_low	language_group_high	language	natl1	natl2	natl3	gdppc	gdppc2	yearonset	yearm1	polity_conq	politycq_onset	politycq_onsetm1	polity_los	energy	tpop	upop	polityls_onset	polityls_onsetm1	durat	soldperterr	mtnfor	urbpc	edel	lndurat	lnlosdeaths	lnlosdeathspc	lncqsize	lndist	lngdppc	lngdppc2	terraim_s	govtaim_s	alldeaths_s	losdeaths_s	lncqsize_s	soldperterr_s	polity_conq_s	polity_los_s	terrain_s	elevate_s	forest_s	mtnfor_s	lndurat_s	lnlosdeaths_s	lnlosdeathspc_s	distance_s	lndist_s	lngdppc_s	urbpc_s
1003	1003.0	"Grenada"	"United States"	"Grenada"	2	55	"10/25/1983"	"10/25/1983"	"."	1983	0	0	0	1	0	0		0	1	0	89	70	7600	2200	344	0	1	"1"	3348.466	6			0.5294118	1	0	0	0	0	0	1	1	1		6282.0	1983.0	1982.0	10	10	10		3	91	0			1.0	3.0952618		0.0	0.0	0.0	4.248495	-0.26236427	8.935904	8.116258		8.745443	-1.1666329	-0.37939346	-0.20186068	-0.22350554	-1.2721773	1.4554158	1.8318571				0.5925897		-2.230997	-1.5458299	0.126823	0.24838793	0.768495		-1.1779459
7	7.0	"Mexican-American"	"United States"	"Mexico"	2	70	"4/25/1846"	"9/14/1847"	"2/2/1848"	1848	0	1	0	0	0	1	0	1	0	0	6100	5000	10738	30000	3233040	1	1	"No"	3034.392	1	31.2	5710	0.47006866	1	0	1	1	0	1	1	1	1	709.7	709.7	1846.0	1845.0	10	10	9		13	7534	166	-3	-3	508.0	-5.7073894	39.10343	0.02203345	0.0	6.2304816	8.517193	-0.4099882	9.281544	8.017766	6.564842	6.564842	-0.057611503	-1.7705028	-0.1955514	-0.21236043	-1.081145	-1.9095869	1.8318571		0.5022977	1.2248359	0.3195405	0.503054	0.9630625	0.16716011	0.0685477	0.1451877	0.68189526	-0.98461413	-0.91678756
40	40.0	"Franco-Mexican"	"France"	"Mexico"	220	70	"4/19/1862"	"6/7/1863"	"3/12/1867"	1863	1	0	0	0	0	1	1	0	1	0	2350	2000	36000	22000	1923040	1	1	"No"	9206.556	6	31.2	5710	0.47006866	1	0	0	0	0	1	1	1	1	685.9	685.9	1862.0	1861.0	-6	-7	-8	-3	67	8708	208	-3	-3	415.0	-3.9781437	39.10343	0.023886083	0.0	6.0282784	7.6009026	-1.471095	10.491274	9.127671	6.5307317	6.5307317	-1.1666329	-0.37939346	-0.19948749	-0.21914245	-0.412538	-1.2485455	-0.581884	-0.029464796	0.5022977	1.2248359	0.3195405	0.503054	0.85940295	-0.20053895	-0.35032958	2.1732728	1.6577904	-1.0270469	-0.8948287
1012	1012.0	"Honduras 1872"	"El Salvador"	"Honduras"	92	91	"3/25/1872"	"7/28/1872"	"1874"	1872	0	3	0	1	0	1	0	0	1	0					111890	0	1	"0"	217.693	1	52.8	2870	0.8074895	0	0	0	0	0	0	0	0	1		568.73334	1872.0	1871.0	-1	-1	-1	-3				-3	-3	126.0		66.774475		0.0	4.836282				5.3830857		6.3434114	-1.1666329	-0.37939346					0.17241009	-0.029464796	1.5335373	-0.21888003	1.8720788	2.0061505	0.24832527			-0.7803395	-1.6346735		
1013	1013.0	"Honduras 1894"	"Nicaragua"	"Honduras"	93	91	"12/23/1893"	"2/22/1894"	"."	1894	0	3	0	1	0	0		0	1	0	700				111890	0	1	"0"	240.673	1	52.8	2870	0.8074895	0	0	0	0	0	0	0	0	1		775.93335	1893.0	1892.0	-5	-5	-5	-3				-3	-3	62.0		66.774475		0.0	4.1271343				5.483439		6.6540666	-1.1666329	-0.37939346	-0.20121937				-0.4310252	-0.029464796	1.5335373	-0.21888003	1.8720788	2.0061505	-0.115219526			-0.7727886	-1.5464369		
1010	1010.0	"El Salvador 1863"	"Guatemala"	"El Salvador"	90	92	"6/19/1863"	"10/26/1863"	"."	1863	0	3	0	1	0	0		0	1	0					20720	1	0	"0"	178.427	1	10.3	2730	0.2804054	0	0	0	0	0	0	0	0	1		561.18	1863.0	1862.0	-3	-3	-3	-1				-1	-1	130.0		19.17027		0.0	4.8675346				5.18418		6.330042	-1.1666329	-0.37939346					-0.12930757	0.29464796	-0.49552223	-0.29004914	-0.55313665	-0.5797191	0.26434708			-0.79324174	-1.8095635		
1011	1011.0	"El Salvador 1871"	"Honduras"	"El Salvador"	91	92	"3/5/1871"	"4/15/1871"	"."	1871	0	3	0	1	0	0		0	1	0				5000	20720		1	"0"	217.693	1	10.3	2730	0.2804054	0	0	0	0	0	0	0	0	1		558.86664	1871.0	1870.0	-3	-3	-3	-1				-1	-1	42.0		19.17027		0.0	3.7376697				5.3830857		6.325911	-1.1666329	-0.37939346					-0.12930757	0.29464796	-0.49552223	-0.29004914	-0.55313665	-0.5797191	-0.31487876			-0.7803395	-1.6346735		
91	91.0	"Central American"	"Nicaragua"	"Honduras"	93	94	"2/18/1907"	"3/28/1907"	"."	1907	1	0	0	0	0	0		0	1	1	1000	600	5000	4500	111890	0	1	"No"	240.673	1	22.2	3810	0.8074895	0	0	0	0	0	0	1	0	1		1457.0	1907.0	1906.0	-5	-5	-5	10				10	10	39.0	-3.1080782	51.474476		0.0	3.6635616	6.3969297		8.517193	5.483439		7.284135	-1.1666329	-0.37939346	-0.20090447	-0.22230738	-1.503595	-0.91594434	-0.4310252	2.0772681	0.072614476	0.2589696	1.8720788	1.1750515	-0.35287032	-0.68368244		-0.7727886	-1.5464369		
1004	1004.0	"Panama"	"United States"	"Panama"	2	95	"12/20/1989"	"12/20/1989"	"."	1989	0	0	0	1	0	0		0	1	0	228	205	27684		75420	0	1	"0"	3337.765	6	12.0	3475	0.62447935	1	0	0	1	0	1	1	1	1	4352.0	4352.0	1989.0	1988.0	10	10	10	-8	1947	2350	686	-8	-8	1.0	-1.0022179	37.22397	0.29191488	0.0	0.0	5.32301	-2.4391606	10.22861	8.113057	8.37839	8.37839	-1.1666329	-0.37939346	-0.20171478	-0.22320035	-0.55771	-0.11093389	1.8318571	-0.83974665	-0.41435987	0.08867214	1.0300138	0.4009612	-2.230997	-1.1146368	-0.7324784	0.24487168	0.76568097	1.2714028	2.2820652
64	64.0	"Pacific"	"Chile"	"Peru"	155	135	"4/5/1879"	"1/17/1881"	"10/29/1883"	1881	1	0	0	0	0	1	0	1	0	0	11122	8822	26000	26000	1280000	1	1	"No"	2469.326	1	47.6	6758	0.721	0	0	0	0	0	0	1	1	1		912.13336	1879.0	1878.0	3	3	3	-3	0	2759	105	-1	-1	654.0	-3.8965187	59.85	0.038057268	0.0	6.4831076	9.085004	1.1623803	10.165852	7.8117003		6.8157864	-0.057611503	-1.7705028	-0.19028018	-0.20372015	-0.592396	-1.2173426	0.7758454	-0.029464796	1.2852758	1.7575874	1.474124	1.6300116	1.0925714	0.39501756	0.68924814	-0.04048499	0.50071		-0.72686034
